"dataResourceUid","dataResourceName","images","dcterms:modified","dcterms:language","dcterms:license","rightsHolder","dcterms:accessRights","dcterms:bibliographicCitation","references","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","identifier","provenance","rights","source","dcterms:type","occurrenceID","catalogNumber","recordNumber","recordedBy","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","behavior","establishmentMeans","occurrenceStatus","preparations","disposition","associatedMedia","associatedReferences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","associatedOccurrences","georeferenceVerificationStatus","recordedByID","recordID","degreeOfEstablishment","locationID","higherGeographyID","continent","waterBody","islandGroup","island","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","minimumElevationInMeters","maximumElevationInMeters","verbatimElevation","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","coordinatePrecision","verbatimCoordinates","verbatimLatitude","verbatimLongitude","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceRemarks"
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","2118","","","Longman (1939)","Queensland Historical Fauna Database","OCCURRENCE","","","","","","","","","urn:catalog:QGov:DES:WildNet:2988393","","","","","","","","","","","","PRESENT","","","","","","","","","","","","3461c499-883a-4412-9c08-bb47f3bf09bf","","","","","","","","Australia","AU","Queensland","","","Cotherstone area, E of Clermont","","","","","","","","","","","","-22.61509","148.2511","EPSG:4326","3600.0","","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","1645","","","Gordon et al. (1985)","Queensland Historical Fauna Database","OCCURRENCE","","","","","","","","","urn:catalog:QGov:DES:WildNet:2988829","","","","","","","","","","","","PRESENT","","","","","","","","","","","","f0e34ef8-71dd-46d9-a890-4b5bc1bcc721","","","","","","","","Australia","AU","Queensland","","","Epping Forest NP (#3)","","","","","","","","","","","","-22.37343","146.6928","EPSG:4326","900.0","","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","7267","","","Evans (2000)","Queensland Historical Fauna Database","OCCURRENCE","","","","","","","","","urn:catalog:QGov:DES:WildNet:3746422","","","","","","","","","","","","PRESENT","","","","","","","","","","","","0a632fbc-f0f2-475c-8f7d-da5e5e606214","","","","","","","","Australia","AU","Queensland","","","Epping Forest National Park","","","","","","","","","","","","-22.3651","146.70113","EPSG:4326","900.0","","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","7176","","","Gerhardt etal. (2000)","Queensland Historical Fauna Database","OCCURRENCE","","","","","","","","","urn:catalog:QGov:DES:WildNet:3828010","","","","","","","","","","","","PRESENT","","","","","","","","","","","","cb4bec5a-7b80-4b3f-bf13-2e6420524c1e","","","","","","","","Australia","AU","Queensland","","","Epping Forest NP","","","","","","","","","","","","-22.3526","146.70946","EPSG:4326","3500.0","","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","1274","","","Crossman (1988)","Queensland Historical Fauna Database","OCCURRENCE","","","","","","","","","urn:catalog:QGov:DES:WildNet:2988936","","","","","","","","","","","","PRESENT","","","","","","","","","","","","0b61e47e-98f5-4778-813a-75e3ed6f05de","","","","","","","","Australia","AU","Queensland","","","Yaminon Sand Ridge, Warrie Stn","","","","","","","","","","","","-28.09842","148.97198","EPSG:4326","3600.0","","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","1275","","","Crossman et al. (1994)","Queensland Historical Fauna Database","OCCURRENCE","","","","","","","","","urn:catalog:QGov:DES:WildNet:2983401","","","","","","","","","","","","PRESENT","","","","","","","","","","","","694e9e09-b5d9-4e00-9211-1ed8cdaaf09a","","","","","","","","Australia","AU","Queensland","","","Epping Forest NP","","","","","","","","","","","","-22.3776","146.70113","EPSG:4326","450.0","","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","5955","","","Woolnough (1998)","Queensland Historical Fauna Database","OCCURRENCE","","","","","","","","","urn:catalog:QGov:DES:WildNet:3797509","","","","","","","","","","","","PRESENT","","","","","","","","","","","","6adca467-7f4e-40f0-a976-afaa3e4fdae3","","","","","","","","Australia","AU","Queensland","","","Epping Forest NP","","","","","","","","","","","","-22.3526","146.70945","EPSG:4326","3500.0","","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","9","","","Central Coast Wildlife Atlas - Rockhampton","Integrated Biological Information System (IBIS)","OCCURRENCE","","","","","","","","","urn:catalog:QGov:DES:WildNet:1581735","","","","","1","Accurate","","","","","","PRESENT","","","","","","","","","","","","73d0e921-2f62-4f39-96a0-51445d6ea6fa","","","","","","","","Australia","AU","Queensland","","","Epping Forest NP","","","","","","","","","","","","-22.3776","146.7053","EPSG:4326","500.0","","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","1274","","","Crossman (1988)","Queensland Historical Fauna Database","OCCURRENCE","","","","","","","","","urn:catalog:QGov:DES:WildNet:2988938","","","","","","","","","","","","PRESENT","","","","","","","","","","","","b4b3a823-b021-4163-8557-acb987a87841","","","","","","","","Australia","AU","Queensland","","","S bank Moonie R, Moombah Stn","","","","","","","","","","","","-27.97341","149.29697","EPSG:4326","1800.0","","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","1573","","","Finlayson (1934)","Queensland Historical Fauna Database","OCCURRENCE","","","","","","","","","urn:catalog:QGov:DES:WildNet:2988211","","","","","","","","","","","","PRESENT","","","","","","","","","","","","e1b2b521-2bee-4d9d-93fb-0572f38557ca","","","","","","","","Australia","AU","Queensland","","","Epping Forest","","","","","","","","","","","","-22.3151","146.75529","EPSG:4326","7200.0","","","","","","","","","","","",""
